Date,InflationIndex,Country,GDP
2014-12-31,0.5023548,DE,99.299995
2015-03-31,-0.0511115,DE,99.100003
2015-06-30,0.9688507,DE,99.720002
2015-09-30,0.7288771,DE,100.17
2015-12-31,0.4092312,DE,100.609997
2016-03-31,0.3026227,DE,101.409999
2016-06-30,0.1328904,DE,101.99
2016-09-30,0.4973475,DE,102.199998
2016-12-31,1.034023,DE,102.569994
2017-03-31,1.642642,DE,103.789995
2017-06-30,1.426676,DE,104.37
2017-09-30,1.550643,DE,105.270001
2017-12-31,1.41961,DE,106.039993
2018-03-31,1.319261,DE,106.180001
2018-06-30,1.733726,DE,106.590003
2018-09-30,1.884341,DE,106.479998
2018-12-31,1.985677,DE,106.699997
2019-03-31,1.367188,DE,107.207498
2019-06-30,1.70418,DE,106.947501
2019-09-30,1.466837,DE,107.157498
2019-12-31,1.244813,DE,107.187493
2014-12-31,0.277815,FR,99.317888
2015-03-31,-0.2405854,FR,99.762478
2015-06-30,0.2129075,FR,99.713897
2015-09-30,0.08331112,FR,100.144133
2015-12-31,0.09346107,FR,100.360171
2016-03-31,-0.04019427,FR,100.995404
2016-06-30,-0.006639224,FR,100.692693
2016-09-30,0.2796924,FR,100.919956
2016-12-31,0.5002168,FR,101.548932
2017-03-31,1.23312,FR,102.381801
2017-06-30,0.8863953,FR,103.068007
2017-09-30,0.8699406,FR,103.760838
2017-12-31,1.141454,FR,104.571625
2018-03-31,1.360432,FR,104.822075
2018-06-30,1.895423,FR,104.984747
2018-09-30,2.248264,FR,105.281569
2018-12-31,1.896263,FR,105.807495
2019-03-31,1.221344,FR,106.17222
2019-06-30,1.12385,FR,106.555532
2019-09-30,1.004443,FR,106.835976
2019-12-31,1.085032,FR,106.781323
2014-12-31,1.1,GB,98.549277
2015-03-31,0.4,GB,99.068399
2015-06-30,0.3,GB,99.774863
2015-09-30,0.4,GB,100.20389
2015-12-31,0.4,GB,100.952848
2016-03-31,0.7,GB,101.120781
2016-06-30,0.7,GB,101.657473
2016-09-30,1,GB,102.115715
2016-12-31,1.5,GB,102.779072
2017-03-31,2.2,GB,103.371537
2017-06-30,2.6,GB,103.631405
2017-09-30,2.7,GB,103.984228
2017-12-31,2.8,GB,104.399363
2018-03-31,2.5,GB,104.461469
2018-06-30,2.2,GB,105.011645
2018-09-30,2.3,GB,105.628218
2018-12-31,2.1,GB,105.854376
2019-03-31,1.8,GB,106.564109
2019-06-30,2,GB,106.394337
2019-09-30,1.8,GB,106.952889
2019-12-31,1.4,GB,106.974136
