SalesOrderNumber,ProductKey,OrderQuantity,UnitPrice,SalesAmount,TotalProductCost,OrderDate,ShipDate,City,StateProvinceCode,CountryRegionCode,DiscountAmount,SalesType,ResellerKey,CustomerKey,ProductName,ProductSubcategory,ProductCategory,Profit,ResellerName,NumberEmployees,OrderFrequency,AnnualSales,AnnualRevenue,YearOpened,Region,StoreAge
SO53608,214,4,20.99,83.98,52.3452,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Sport-100 Helmet, Red",Helmets,Accessories,31.6308,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,217,5,20.99,104.97,65.4315,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Sport-100 Helmet, Black",Helmets,Accessories,39.5385,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,217,2,20.99,41.99,26.1726,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Sport-100 Helmet, Black",Helmets,Accessories,15.8154,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,222,2,20.99,41.99,26.1726,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Sport-100 Helmet, Blue",Helmets,Accessories,15.8154,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,222,1,20.99,20.99,13.0863,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Sport-100 Helmet, Blue",Helmets,Accessories,7.9077,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,225,4,5.39,21.58,27.6892,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,AWC Logo Cap,Caps,Clothing,-6.1132,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,225,3,5.39,16.18,20.7669,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,AWC Logo Cap,Caps,Clothing,-4.5849,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59053,225,1,5.39,5.39,6.9223,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,AWC Logo Cap,Caps,Clothing,-1.5283,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,234,2,29.99,59.99,76.9846,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-16.9966,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,234,1,29.99,29.99,38.4923,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-8.4983,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59053,234,4,29.99,119.98,153.9692,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing,-33.9932,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,359,1,1376.99,1376.99,1251.9813,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Mountain-200 Black, 38",Mountain Bikes,Bikes,125.0127,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,400,2,37.15,74.3,54.985,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,ML Mountain Handlebars,Handlebars,Components,19.319,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53609,400,1,37.15,37.15,27.4925,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,ML Mountain Handlebars,Handlebars,Components,9.6595,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO53608,471,4,38.1,152.4,94.996,2018-12-18,2018-10-29,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Classic Vest, S",Vests,Clothing,57.404,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
SO59033,471,4,38.1,152.4,94.996,2019-03-22,2019-01-27,Frankfurt am Main,SL,DE,0,Reseller Sales,14,14,"Classic Vest, S",Vests,Clothing,57.404,Bicycle Warehouse Inc.,22,A,1000000,100000,2000,EU,new
