SalesOrderNumber,OrderDate,CountryRegionCode,Category,ResellerName,NumberEmployees,YearOpened,Region,SalesAmount,TotalProductCost,OrderQuantity,DaysOfRent,UnitPrice
OrNo.194154,2019-01-12,DE,E-Bikes,Biketastic Germany,6,2019,EU,1898.75,1500.0125,1,,1898.75
OrNo.193999,2019-01-16,DE,E-Bikes,Biketastic Germany,6,2019,EU,1898.75,1500.0125,1,,1898.75
OrNo.659662,2019-01-16,DE,E-Bikes,Biketastic Germany,6,2019,EU,1898.75,1500.0125,1,,1898.75
OrNo.155690,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,487.75,287.7725,1,231,487.75
OrNo.155710,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,576.5,340.135,1,273,576.5
OrNo.175030,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,116.75,68.8825,1,35,116.75
OrNo.175300,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,266,156.94,1,126,266
OrNo.175480,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,369.5,218.005,1,175,369.5
OrNo.175610,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,473,279.07,1,224,473
OrNo.175800,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,12.25,7.2275,1,2,12.25
OrNo.176010,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,428.75,252.9625,1,203,428.75
OrNo.176100,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,413.75,244.1125,1,196,413.75
OrNo.176280,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,325.25,191.8975,1,154,325.25
OrNo.177010,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,384.5,113.4275,2,91,192.25
OrNo.177310,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,221.75,130.8325,1,105,221.75
OrNo.177540,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,46.75,27.5825,1,14,46.75
OrNo.178580,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,1537,453.415,2,364,768.5
OrNo.179000,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,70,41.3,1,21,70
OrNo.179270,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,514,151.63,2,77,257
OrNo.179600,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,192.25,113.4275,1,91,192.25
OrNo.179760,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,233.75,137.9125,1,70,233.75
OrNo.179800,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,384.25,226.7075,1,182,384.25
OrNo.180020,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,327,96.465,2,49,163.5
OrNo.180150,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,1300.5,383.6475,2,308,650.25
OrNo.180220,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,233.5,68.8825,2,35,116.75
OrNo.190240,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,236.5,139.535,1,112,236.5
OrNo.195380,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,502.5,148.2375,2,119,251.25
OrNo.195690,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,325.25,191.8975,1,154,325.25
OrNo.212190,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,2305.5,453.415,3,364,768.5
OrNo.212280,2019-01-17,DE,Bike Rental,Biketastic Germany,6,2019,EU,30.5,17.995,1,5,30.5
OrNo.696649,2019-01-19,DE,E-Bikes,Biketastic Germany,6,2019,EU,1898.75,1500.0125,1,,1898.75
OrNo.168285,2019-01-27,DE,Cargo Bikes,Biketastic Germany,6,2019,EU,4030,3425.5,1,,4030
OrNo.657489,2019-01-27,DE,Cargo Bikes,Biketastic Germany,6,2019,EU,4419.75,3756.7875,1,,4419.75
OrNo.657170,2019-02-06,DE,Cargo Bikes,Biketastic Germany,7,2019,EU,3235.25,2749.9625,1,,3235.25
OrNo.657230,2019-02-06,DE,Cargo Bikes,Biketastic Germany,7,2019,EU,3462.75,2943.3375,1,,3462.75
OrNo.223750,2019-02-07,DE,E-Bikes,Biketastic Germany,7,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.661160,2019-02-07,DE,E-Bikes,Biketastic Germany,7,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.663931,2019-02-07,DE,E-Bikes,Biketastic Germany,7,2019,EU,5323.5,2102.7825,2,,2661.75
OrNo.697810,2019-02-07,DE,E-Bikes,Biketastic Germany,7,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.221580,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1212,357.54,2,287,606
OrNo.221780,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,207,122.13,1,98,207
OrNo.221850,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,251.25,148.2375,1,119,251.25
OrNo.222250,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1950.75,383.6475,3,308,650.25
OrNo.222340,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,724.25,427.3075,1,343,724.25
OrNo.222400,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,233.75,137.9125,1,70,233.75
OrNo.222540,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,428.75,252.9625,1,203,428.75
OrNo.222630,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1020,200.6,3,161,340
OrNo.222710,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,753.75,444.7125,1,357,753.75
OrNo.222810,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,251.25,148.2375,1,119,251.25
OrNo.223140,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,517.25,305.1775,1,245,517.25
OrNo.260630,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,233.75,137.9125,1,70,233.75
OrNo.260760,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,606,357.54,1,287,606
OrNo.260800,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,694.75,409.9025,1,329,694.75
OrNo.261130,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,680,401.2,1,322,680
OrNo.261370,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,841.5,165.495,3,84,280.5
OrNo.261690,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,606,357.54,1,287,606
OrNo.261700,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,295.5,174.345,1,140,295.5
OrNo.262190,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,576.5,340.135,1,273,576.5
OrNo.262580,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,665,392.35,1,315,665
OrNo.262720,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,532,313.88,1,252,532
OrNo.262910,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,606,357.54,1,287,606
OrNo.270590,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,70,41.3,1,21,70
OrNo.271180,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,369.5,218.005,1,175,369.5
OrNo.271290,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,310.5,183.195,1,147,310.5
OrNo.271340,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,266,156.94,1,126,266
OrNo.271450,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,257,151.63,1,77,257
OrNo.271790,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,399,235.41,1,189,399
OrNo.272080,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,709.5,418.605,1,336,709.5
OrNo.272150,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,635.5,374.945,1,301,635.5
OrNo.272390,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,473,139.535,2,112,236.5
OrNo.272550,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,207,122.13,1,98,207
OrNo.296780,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,768.5,453.415,1,364,768.5
OrNo.296860,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,233.75,137.9125,1,70,233.75
OrNo.297360,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,886.5,174.345,3,140,295.5
OrNo.297400,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1360,401.2,2,322,680
OrNo.352940,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1729.5,340.135,3,273,576.5
OrNo.358900,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1241.5,366.2425,2,294,620.75
OrNo.359190,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1094,322.73,2,259,547
OrNo.359780,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,635.5,374.945,1,301,635.5
OrNo.359840,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,650.25,383.6475,1,308,650.25
OrNo.359920,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,187,110.33,1,56,187
OrNo.360260,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,251.25,148.2375,1,119,251.25
OrNo.360500,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1641,322.73,3,259,547
OrNo.360660,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,680,200.6,2,161,340
OrNo.360710,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,502.5,296.475,1,238,502.5
OrNo.360960,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,739,436.01,1,350,739
OrNo.361010,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,768.5,453.415,1,364,768.5
OrNo.361380,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,665,392.35,1,315,665
OrNo.361590,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,547,322.73,1,259,547
OrNo.361680,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,325.25,191.8975,1,154,325.25
OrNo.361780,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,1374.75,270.3675,3,217,458.25
OrNo.362000,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,251.25,148.2375,1,119,251.25
OrNo.362290,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,384.5,113.4275,2,91,192.25
OrNo.362860,2019-02-17,DE,Bike Rental,Biketastic Germany,7,2019,EU,428.75,252.9625,1,203,428.75
OrNo.294249,2019-02-27,DE,Cargo Bikes,Biketastic Germany,7,2019,EU,3758.5,3194.725,1,,3758.5
OrNo.223940,2019-03-09,DE,E-Bikes,Biketastic Germany,8,2019,EU,2676.5,2114.435,1,,2676.5
OrNo.226679,2019-03-09,DE,Cargo Bikes,Biketastic Germany,8,2019,EU,6566.5,2790.7625,2,,3283.25
