SalesOrderNumber,OrderDate,CountryRegionCode,Category,ResellerName,NumberEmployees,YearOpened,Region,SalesAmount,TotalProductCost,OrderQuantity,DaysOfRent,UnitPrice
OrNo.645420,2018-01-08,FR,E-Bikes,Biketastic France,3,2016,EU,4233,1862.52,2,,2116.5
OrNo.107300,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,714,264.18,2,189,357
OrNo.111300,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,2023.5,499.13,3,357,674.5
OrNo.113800,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,952.5,234.95,3,168,317.5
OrNo.115700,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,1111,411.07,2,294,555.5
OrNo.121000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,201,148.74,1,70,201
OrNo.122000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,20,14.8,1,7,20
OrNo.123800,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,330.5,244.57,1,175,330.5
OrNo.127900,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,304.25,225.145,1,161,304.25
OrNo.131500,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,160.75,118.955,1,56,160.75
OrNo.137700,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,542.25,401.265,1,287,542.25
OrNo.139200,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,515.75,381.655,1,273,515.75
OrNo.273000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,180.75,133.755,1,63,180.75
OrNo.298000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,317.5,234.95,1,168,317.5
OrNo.317000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,185.25,137.085,1,98,185.25
OrNo.354000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,224.75,166.315,1,119,224.75
OrNo.392000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,277.75,205.535,1,147,277.75
OrNo.417000,2018-01-18,FR,Bike Rental,Biketastic France,3,2016,EU,1944,479.52,3,343,648
