SalesOrderNumber,OrderDate,CountryRegionCode,Category,ResellerName,NumberEmployees,YearOpened,Region,SalesAmount,TotalProductCost,OrderQuantity,DaysOfRent,UnitPrice,FileName,Profit,ProfitPerRentalDay
OrNo.100150,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,54.25,40.145,1,28,54.25,,14.105,0.50375
OrNo.100270,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,333.75,246.975,1,231,333.75,,86.775,0.375649350649351
OrNo.100300,2018-01-18,NL,Bike Rental,Biketastic Netherlands,6,2012,EU,581.75,430.495,1,308,581.75,Biketastic_NL,151.255,0.491087662337662
OrNo.100850,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,516,127.28,3,119,172,,134.16,1.12739495798319
OrNo.100900,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,202.25,149.665,1,140,202.25,,52.585,0.375607142857143
OrNo.101040,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,244,90.28,2,63,122,,63.44,1.00698412698413
OrNo.101580,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,202.25,149.665,1,140,202.25,,52.585,0.375607142857143
OrNo.101770,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,930.5,344.285,2,322,465.25,,241.93,0.751335403726708
OrNo.101990,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,485.25,119.695,3,112,161.75,,126.165,1.12647321428571
OrNo.102140,2018-05-20,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,879.75,217.005,3,203,293.25,,228.735,1.12677339901478
OrNo.102250,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,950.5,351.685,2,329,475.25,Biketastic_NL,247.13,0.751155015197568
OrNo.102450,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,283,104.71,2,98,141.5,Biketastic_NL,73.58,0.750816326530612
OrNo.102530,2018-06-19,FR,Bike Rental,Biketastic France,5,2016,EU,1051.5,389.055,2,364,525.75,Biketastic_FR,273.39,0.751071428571429
OrNo.102620,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,687.5,254.375,2,238,343.75,Biketastic_NL,178.75,0.751050420168067
OrNo.102710,2018-06-19,FR,Bike Rental,Biketastic France,5,2016,EU,627,231.99,2,217,313.5,Biketastic_FR,163.02,0.751244239631336
OrNo.102910,2018-06-19,FR,Bike Rental,Biketastic France,5,2016,EU,284.25,70.115,3,49,94.75,Biketastic_FR,73.905,1.50826530612245
OrNo.103020,2018-06-19,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,303.25,224.405,1,210,303.25,Biketastic_NL,78.845,0.375452380952381
OrNo.103270,2018-06-19,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,222.5,164.65,1,154,222.5,,57.85,0.375649350649351
OrNo.103920,2018-06-19,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,54.25,40.145,1,28,54.25,,14.105,0.50375
OrNo.104350,2018-06-19,GB,Bike Rental,Biketastic Great Britain,5,2017,EU,252.75,187.035,1,175,252.75,,65.715,0.375514285714286
OrNo.104560,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,135.5,50.135,2,35,67.75,Biketastic_FR,35.23,1.00657142857143
OrNo.104790,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,1011,374.07,2,350,505.5,Biketastic_FR,262.86,0.751028571428571
OrNo.105140,2018-05-20,FR,Bike Rental,Biketastic France,5,2016,EU,404.5,149.665,2,140,202.25,Biketastic_FR,105.17,0.751214285714286
OrNo.105270,2018-05-20,NL,Bike Rental,Biketastic Netherlands,8,2012,EU,192.25,142.265,1,133,192.25,Biketastic_NL,49.985,0.375827067669173
